Method,Silhouette,ARI,Vectorization Time (s),Model Training Time (s),Total Time (s)
Doc2Vec,0.038592465221881866,0.3480130708889878,17.79,0.41,18.2
TF-IDF Standard,0.13070415202641894,0.2300218513815064,0.46,4.04,4.5
Word2Vec,0.1799214631319046,0.205267493571512,2.3,0.45,2.75
Binary,0.12117972425773553,0.1778327572473132,0.35,4.46,4.81
TF-IDF Bigrams,0.148343370130283,0.15886276917393313,1.06,3.91,4.97
Bag of Words,0.12450514917893611,0.1250337680970655,0.38,4.34,4.71
BERT,0.06708013266324997,0.03323254108532431,136.62,1.32,137.95
