,precision,recall,f1-score,support
World,0.8810258074987827,0.8639185102657966,0.8723882995821279,6283.0
Sports,0.9201849917947188,0.9539127745128364,0.9367453868934619,6466.0
Business,0.8400063552589768,0.8299843014128728,0.8349652558433355,6370.0
Sci/Tech,0.8365293932725558,0.8314325886580222,0.8339732037922118,6401.0
accuracy,0.870101880877743,0.870101880877743,0.870101880877743,0.870101880877743
macro avg,0.8694366369562585,0.8698120437123821,0.8695180365277843,25520.0
weighted avg,0.8695480577898439,0.870101880877743,0.8697179668935592,25520.0
