,precision,recall,f1-score,support
World,0.8954908025394758,0.8755371637752666,0.88540157733784,6283.0
Sports,0.9414796846573681,0.960408289514383,0.9508497932935231,6466.0
Business,0.857255396250197,0.854160125588697,0.8557049618620743,6370.0
Sci/Tech,0.8587193036990985,0.8631463833775973,0.8609271523178808,6401.0
accuracy,0.8885971786833856,0.8885971786833856,0.8885971786833856,0.8885971786833856
macro avg,0.8882362967865348,0.8883129905639859,0.8882208712028296,25520.0
weighted avg,0.8883759988417615,0.8885971786833856,0.8884329225273409,25520.0
