,precision,recall,f1-score,support
World,0.7413738019169329,0.7386598758554831,0.7400143506338197,6283.0
Sports,0.8001187119750705,0.8339004021033096,0.8166603559257857,6466.0
Business,0.7100581878636741,0.6704866562009419,0.6897052886556319,6370.0
Sci/Tech,0.7099600368890255,0.7216059990626464,0.715735647323158,6401.0
accuracy,0.7414968652037618,0.7414968652037618,0.7414968652037618,0.7414968652037618
macro avg,0.7403776846611758,0.7411632333055953,0.7405289106345989,25520.0
weighted avg,0.7405620706070984,0.7414968652037618,0.7407869354898248,25520.0
