,precision,recall,f1-score,support
World,0.9093433518458021,0.8860416998249244,0.8975413139862959,6283.0
Sports,0.9550766428896645,0.9732446643983916,0.9640750670241287,6466.0
Business,0.8560499609679938,0.8607535321821036,0.8583953033268101,6370.0
Sci/Tech,0.8668019987507808,0.8672082487111389,0.867005076142132,6401.0
accuracy,0.8971003134796238,0.8971003134796238,0.8971003134796238,0.8971003134796238
macro avg,0.8968179886135603,0.8968120362791396,0.8967541901198417,25520.0
weighted avg,0.8969579818942638,0.8971003134796238,0.8969686141744311,25520.0
