,precision,recall,f1-score,support
World,0.8980953931303923,0.878083717969123,0.8879768227909223,6283.0
Sports,0.9411942554799697,0.962882771419734,0.9519149912086232,6466.0
Business,0.8601641414141414,0.8555729984301413,0.8578624271997481,6370.0
Sci/Tech,0.8616557734204793,0.8650210904546165,0.8633351524128791,6401.0
accuracy,0.8906739811912225,0.8906739811912225,0.8906739811912225,0.8906739811912225
macro avg,0.8902773908612458,0.8903901445684037,0.8902723484030431,25520.0
weighted avg,0.890407507736846,0.8906739811912225,0.8904793370927728,25520.0
