Method,Silhouette,ARI,Vectorization Time (s),Model Training Time (s),Total Time (s)
BERT,0.06848455965518951,0.6310208539825976,887.01,17.81,904.82
Word2Vec,0.12869568169116974,0.5690558036883628,22.08,2.59,24.67
Binary,0.09470484100446068,0.01928106544928534,2.3,106.56,108.86
TF-IDF Standard,0.08535333424781595,0.012765708772458991,2.98,86.09,89.07
TF-IDF Bigrams,0.07840150046507448,0.011342091227534002,10.12,86.86,96.97
Bag of Words,0.14576426837650083,0.007784162671582405,2.43,111.96,114.39
Doc2Vec,0.015074309892952442,0.0038753856578205947,337.24,2.52,339.76
