,precision,recall,f1-score,support
World,0.91106751675658,0.8869966576476206,0.8988709677419355,6283.0
Sports,0.9472889291647787,0.9699969068976183,0.9585084434935432,6466.0
Business,0.8671252149445052,0.8708006279434851,0.8689590350121407,6370.0
Sci/Tech,0.8736100234925607,0.8714263396344322,0.872516815266698,6401.0
accuracy,0.9000783699059561,0.9000783699059561,0.9000783699059561,0.9000783699059561
macro avg,0.899772921089606,0.899805133030789,0.8997138153785793,25520.0
weighted avg,0.899881379440965,0.9000783699059561,0.8999048226293613,25520.0
