Method,Accuracy,F1-macro,Vectorization Time (s),Training Time (s),Total Time (s)
TF-IDF Standard,0.9000783699059561,0.8997138153785793,2.98,2.08,5.06
TF-IDF Bigrams,0.8985501567398119,0.8981923641785419,10.12,2.34,12.46
BERT,0.8971003134796238,0.8967541901198417,887.01,5.4,892.41
Bag of Words,0.8906739811912225,0.8902723484030431,2.43,2.25,4.68
Binary,0.8885971786833856,0.8882208712028296,2.3,2.0,4.3
Word2Vec,0.8712774294670846,0.8706950295002287,22.08,3.76,25.84
Doc2Vec,0.7417711598746082,0.7406893863808277,337.24,1.23,338.47
