Method,Silhouette,ARI,Vectorization Time (s),Model Training Time (s),Total Time (s)
Doc2Vec,0.04370924457907677,0.08759811090286942,447.09,0.91,448.0
Binary,0.04018202377897548,0.04990644965726737,4.09,33.0,37.1
Word2Vec,0.16762739419937134,0.031013137009522088,44.31,1.02,45.33
TF-IDF Bigrams,0.07905483146262371,0.022088514984010835,22.4,33.04,55.45
TF-IDF Standard,0.08431551521496453,0.021887048727404705,6.75,32.97,39.72
BERT,0.04909677058458328,0.0171625306254839,947.18,8.01,955.19
Bag of Words,0.12366165550929334,0.010410446181553163,4.48,32.84,37.32
