,precision,recall,f1-score,support
negative,0.8309139235330198,0.8191896795001008,0.8250101502233049,4961.0
positive,0.8244274809160306,0.8358801349474102,0.8301143082380764,5039.0
accuracy,0.8276,0.8276,0.8276,0.8276
macro avg,0.8276707022245252,0.8275349072237554,0.8275622292306907,10000.0
weighted avg,0.827645405098319,0.8276,0.8275821354469483,10000.0
