Method,Accuracy,F1-macro,Vectorization Time (s),Training Time (s),Total Time (s)
TF-IDF Standard,0.8857,0.8856379139671136,6.75,0.1,6.85
TF-IDF Bigrams,0.8855,0.8854440497283278,22.4,0.11,22.51
Bag of Words,0.8753,0.8752692551186942,4.48,0.63,5.11
Binary,0.8694,0.8693818127236037,4.09,0.35,4.44
Doc2Vec,0.8363,0.8362892589382789,447.09,0.1,447.19
Word2Vec,0.829,0.8289433391916738,44.31,0.25,44.56
BERT,0.8185,0.8184913583735722,947.18,0.3,947.48
