,precision,recall,f1-score,support
negative,0.8713676082097135,0.8643418665591615,0.8678405181137422,4961.0
positive,0.8674936011025792,0.8743798372692995,0.8709231073334651,5039.0
accuracy,0.8694,0.8694,0.8694,0.8694
macro avg,0.8694306046561464,0.8693608519142304,0.8693818127236037,10000.0
weighted avg,0.8694154960284286,0.8694,0.8693938348215604,10000.0
