Method,Silhouette,ARI,Vectorization Time (s),Model Training Time (s),Total Time (s)
BERT,0.10352010279893875,0.37483918703157165,281.18,1.12,282.3
Doc2Vec,0.017972564324736595,0.16017698627476437,76.6,1.25,77.84
TF-IDF Standard,0.07162096946695741,0.08050494380646035,2.75,2.58,5.32
TF-IDF Bigrams,0.08751599523210413,0.06484710964023808,5.37,2.35,7.72
Word2Vec,0.056784067302942276,0.05624674318800919,9.01,1.22,10.23
Bag of Words,0.07519080588897786,0.0329951821587499,2.39,2.29,4.68
Binary,0.06176608521171437,0.02756863362511867,1.67,7.06,8.73
