Method,Accuracy,F1-macro,Vectorization Time (s),Training Time (s),Total Time (s)
BERT,0.6989389920424404,0.6855230590895968,281.18,24.17,305.35
TF-IDF Bigrams,0.6591511936339522,0.6502312074639233,5.37,2.15,7.52
TF-IDF Standard,0.656763925729443,0.6479812082137224,2.75,2.14,4.89
Binary,0.6124668435013263,0.6062221175820681,1.67,2.0,3.67
Bag of Words,0.6114058355437666,0.6069027671680477,2.39,6.47,8.86
Doc2Vec,0.5339522546419098,0.5243451490889883,76.6,0.96,77.56
Word2Vec,0.36445623342175065,0.34751487001715875,9.01,3.53,12.54
